0         ,1        ,2             ,3
longitude ,latitude ,baro_altitude ,velocity
-110.5107 ,34.054   ,6065.52       ,199.98
-85.1293  ,39.114   ,9144          ,217.25
-85.8836  ,32.557   ,10363.2       ,194.57
-93.276   ,30.1049  ,10668         ,274.62
6.7705    ,51.285   ,              ,0
-97.5377  ,36.2245  ,3192.78       ,64.67
          ,         ,640.08        ,92.6
172.6997  ,-43.3434 ,982.98        ,91.29
102.1603  ,2.2877   ,10675.62      ,232.63
-81.0492  ,29.3193  ,548.64        ,59.08
10.2359   ,53.5079  ,2339.34       ,147.4
5.7359    ,42.6636  ,10972.8       ,228.09
-87.9021  ,42.9509  ,              ,0
-0.3692   ,51.8764  ,              ,6.69
2.1118    ,39.309   ,6492.24       ,201.53
14.0274   ,43.7289  ,11269.98      ,217.04
12.4029   ,49.116   ,11887.2       ,261.08
5.9917    ,51.3993  ,11574.78      ,204.52
11.4428   ,53.4193  ,10965.18      ,208.53
138.5461  ,-34.9386 ,358.14        ,59.62
-80.6248  ,25.8586  ,5737.86       ,186.89
-117.2715 ,33.1279  ,30.48         ,5.75
-71.6426  ,41.8294  ,6675.12       ,156.57
-87.9071  ,42.1233  ,              ,2.31
3.0661    ,48.9934  ,1165.86       ,121.76
-91.6864  ,36.3148  ,10355.58      ,203.62
1.1893    ,44.7929  ,8534.4        ,223.38
9.141     ,47.2129  ,10660.38      ,246.05
-73.987   ,23.1495  ,10972.8       ,221.63
-88.9342  ,33.7407  ,10690.86      ,117.93
0.4748    ,52.2299  ,3970.02       ,145.55
-77.4544  ,38.9442  ,              ,4.63
-79.7634  ,40.2992  ,2529.84       ,69.64
8.5117    ,50.66    ,9441.18       ,244.5
1.0778    ,41.1312  ,9448.8        ,238.07
3.7433    ,43.8151  ,11277.6       ,223.22
-0.1213   ,51.1577  ,228.6         ,69.53
-2.4273   ,40.3428  ,5227.32       ,145.27
-79.6232  ,43.6858  ,              ,0
-97.3422  ,32.7259  ,3276.6        ,164.13
9.9961    ,49.8817  ,11894.82      ,256.48
-81.7187  ,35.4457  ,1607.82       ,70.96
47.9825   ,27.0572  ,13716         ,303.57
-120.1963 ,37.8669  ,876.3         ,42.81
-90.2483  ,29.9987  ,              ,9.26
10.3794   ,45.1557  ,10668         ,254.26
-74.8512  ,45.026   ,6858          ,211.72
-82.7654  ,29.2073  ,11582.4       ,206.48
-101.5501 ,38.8233  ,10972.8       ,197.38
-0.2232   ,42.7472  ,10972.8       ,242.4
-79.4907  ,39.2673  ,9418.32       ,257.07
-3.8499   ,37.656   ,9288.78       ,219.67
31.3518   ,35.6987  ,10668         ,260.32
18.3443   ,47.3234  ,10660.38      ,267.77
-89.8507  ,30.027   ,487.68        ,46.68
52.3603   ,26.1943  ,10972.8       ,202.92
9.1021    ,50.122   ,8953.5        ,249.61
-90.8632  ,35.153   ,11887.2       ,260.51
-82.5549  ,27.3884  ,              ,0
-115.1683 ,36.083   ,              ,5.92
15.4471   ,48.243   ,11277.6       ,264.2
-82.7114  ,36.0078  ,2682.24       ,92.74
-121.5146 ,38.4354  ,243.84        ,54.08
-78.0324  ,36.901   ,8846.82       ,255.77
14.9348   ,47.0407  ,10980.42      ,195.26
29.0567   ,43.7925  ,10972.8       ,187.44
-119.0031 ,35.1589  ,10972.8       ,225.17
9.2059    ,50.7373  ,11902.44      ,244.11
13.5739   ,45.3104  ,10972.8       ,210.2
19.0182   ,47.9313  ,4503.42       ,203.47
19.6102   ,49.957   ,2392.68       ,149.19
14.8395   ,47.8263  ,11193.78      ,245.79
-1.5547   ,52.4693  ,3093.72       ,145.04
8.8079    ,47.4396  ,1394.46       ,98.91
9.3539    ,45.3447  ,6758.94       ,205.23
9.096     ,53.0524  ,891.54        ,83.75
1.475     ,44.0287  ,1752.6        ,131.69
-73.8444  ,40.5399  ,1127.76       ,133.36
-95.6074  ,35.8488  ,419.1         ,46.77
-85.4607  ,39.6938  ,11887.2       ,268.98
-0.1525   ,51.9117  ,960.12        ,69.63
-122.5062 ,37.5178  ,30.48         ,32.04
-97.686   ,33.3972  ,3017.52       ,158.78
-71.9833  ,24.9708  ,10363.2       ,239.97
-79.4888  ,41.6497  ,10066.02      ,265.87
-90.5156  ,38.736   ,106.68        ,35.83
12.5893   ,41.3175  ,10980.42      ,234.97
-43.9715  ,-23.4725 ,8206.74       ,216.85
11.2274   ,50.3011  ,10363.2       ,204.36
-118.4342 ,34.0307  ,152.4         ,26.83
-95.5756  ,36.2668  ,365.76        ,62.21
5.5607    ,50.4107  ,6865.62       ,207.38
-122.6289 ,45.6197  ,335.28        ,34.99
3.4807    ,51.2713  ,9532.62       ,213
15.2325   ,43.0608  ,11277.6       ,231.31
11.0331   ,47.4262  ,10866.12      ,236.1
23.2418   ,40.9261  ,10363.2       ,210.32
-44.5342  ,-19.5559 ,10355.58      ,225.28
-1.6548   ,53.8689  ,              ,0
-108.495  ,32.2285  ,11277.6       ,281.86
17.8221   ,47.7007  ,4983.48       ,160.54
1.6547    ,51.9592  ,6096          ,160.23
-80.2779  ,26.6905  ,830.58        ,87.58
15.9486   ,42.9151  ,10972.8       ,217.68
